id,name,parent_id,depth,url
,Rehab and Mass Casualty Incident,0,0,"{'path': '/medical-supplies-and-equipment/firefighter-rehab-mass-casualty', 'is_customized': False}"
,Rehab and Mass Casualty Incident,0,0,"{'path': '/firefighting-suppression-equipment/firefighter-rehab-mass-casualty', 'is_customized': False}"
,Generators,0,0,"{'path': '/firefighting-power-equipment/firefighter-rescue-generators', 'is_customized': False}"
,Ropes and Rigging Systems,0,0,"{'path': '/rope-tech-rescue-equipment/firefighter-ropes-and-rigging', 'is_customized': False}"
,Rope Bags,0,0,"{'path': '/rope-tech-rescue-equipment/firefighter-rope-bags', 'is_customized': False}"
,Rope Bags,0,0,"{'path': '/responder-bags/firefighter-rope-bags', 'is_customized': False}"
,Search and Rescue Helmets,0,0,"{'path': '/fire-helmets/firefighter-search-and-rescue-helmets', 'is_customized': False}"
,Shelters,0,0,"{'path': '/hazmat-response-equipment/hazmat-shelters', 'is_customized': False}"
,Shovels and Brooms,0,0,"{'path': '/first-responder-tools/firefighter-shovels-brooms', 'is_customized': False}"
,Sledge Hammers,0,0,"{'path': '/first-responder-tools/first-responder-sledge-hammers', 'is_customized': False}"
,Software,0,0,"{'path': '/first-responder-electronic-equipment/responder-software', 'is_customized': False}"
,Spill Control,0,0,"{'path': '/hazmat-response-equipment/hazmat-spill-control', 'is_customized': False}"
,Station and EMS Boots,0,0,"{'path': '/first-responder-footwear/firefighter-station-and-ems-boots', 'is_customized': False}"
,Stock Badges,0,0,"{'path': '/first-responder-badges/first-responder-stock-badges', 'is_customized': False}"
,Stock Decals,0,0,"{'path': '/first-responder-decals/first-responder-stock-decals', 'is_customized': False}"
,Storage Accessories,0,0,"{'path': '/rescue-gear-storage/first-responder-equipment-storage-accessories', 'is_customized': False}"
,Structural Boots,0,0,"{'path': '/first-responder-footwear/firefighter-structural-boots', 'is_customized': False}"
,Structural Boots,0,0,"{'path': '/firefighter-personal-protective-equipment/firefighter-structural-boots', 'is_customized': False}"
,Suspenders,0,0,"{'path': '/first-responder-leather-goods/leather-firefighter-suspenders', 'is_customized': False}"
,Tactical Bags,0,0,"{'path': '/responder-bags/tactical-bags', 'is_customized': False}"
,Tool and Equipment Bags,0,0,"{'path': '/firefighter-vehicle-rescue/firefighter-tool-bags', 'is_customized': False}"
,Tool and Equipment Bags,0,0,"{'path': '/responder-bags/firefighter-tool-bags', 'is_customized': False}"
,Tool Grips,0,0,"{'path': '/first-responder-tools/firefighter-tool-grips', 'is_customized': True}"
,Tool Parts and Accessories,0,0,"{'path': '/first-responder-tools/firefighter-tool-parts', 'is_customized': True}"
,Traffic Accessories,0,0,"{'path': '/traffic-control-supplies/traffic-control-accessories', 'is_customized': True}"
,Traffic Signs,0,0,"{'path': '/traffic-control-supplies/traffic-control-signs', 'is_customized': False}"
,Traffic Vests,0,0,"{'path': '/firefighter-personal-protective-equipment/traffic-vests', 'is_customized': False}"
,Traffic Vests,0,0,"{'path': '/traffic-control-supplies/traffic-vests', 'is_customized': False}"
,Travel Bags,0,0,"{'path': '/responder-bags/first-responder-travel-bags', 'is_customized': False}"
,Uniform Shoes,0,0,"{'path': '/first-responder-footwear/first-responder-uniform-shoes', 'is_customized': False}"
,Uniforms,0,0,"{'path': '/first-responder-apparel/first-responder-uniform-accessories2', 'is_customized': False}"
,Vehicle Decals,0,0,"{'path': '/first-responder-decals/first-responder-vehicle-decals', 'is_customized': False}"
,Vehicle Stabilization,0,0,"{'path': '/firefighter-vehicle-rescue/firefighter-vehicle-stabilization', 'is_customized': False}"
,Wheel Chocks,0,0,"{'path': '/emergency-vehicle-equipment/fire-apparatus-wheel-chocks2', 'is_customized': False}"
,Voltage Detectors,0,0,"{'path': '/first-responder-electronic-equipment/firefighter-voltage-detectors', 'is_customized': False}"
,Waste Containers,0,0,"{'path': '/rescue-gear-storage/station-waste-containers', 'is_customized': False}"
,Water Rescue Helmets,0,0,"{'path': '/fire-helmets/firefighter-water-rescue-helmets', 'is_customized': False}"
,Water Rescue Lights,0,0,"{'path': '/responder-flashlights/firefighter-water-rescue-lights', 'is_customized': False}"
,Lights,0,0,"{'path': '/firefighter-water-rescue/firefighter-water-rescue-lights', 'is_customized': True}"
,Water Rescue,0,0,"{'path': '/ppe/water-rescue/', 'is_customized': False}"
,PPE,0,0,"{'path': '/firefighter-water-rescue/firefighter-water-rescue-personal-protective-equipment', 'is_customized': True}"
,Water Tanks,0,0,"{'path': '/wildland-firefighting/wildland-firefighting-water-tanks', 'is_customized': False}"
,Whistles and Accessories,0,0,"{'path': '/traffic-control-supplies/traffic-control-whistles', 'is_customized': False}"
,Accessories,0,0,"{'path': '/wildland/accessories/', 'is_customized': False}"
,Bags and Chest Rigs,0,0,"{'path': '/wildland/bags-and-chest-rigs/', 'is_customized': False}"
,Wildland Bags and Chest Rigs,0,0,"{'path': '/responder-bags/wildland-bags-and-rigs', 'is_customized': False}"
,Fire Shelters,0,0,"{'path': '/wildland-firefighting/wildland-fire-shelters', 'is_customized': True}"
,Wildland Helmets,0,0,"{'path': '/fire-helmets/wildland-fire-helmets', 'is_customized': False}"
,Wildland,0,0,"{'path': '/ppe/wildland/', 'is_customized': False}"
,PPE,0,0,"{'path': '/wildland-firefighting/wildland-firefighting-ppe', 'is_customized': True}"
,Wildland Tools,0,0,"{'path': '/first-responder-tools/wildland-firefighting-tools', 'is_customized': False}"
,Tools,0,0,"{'path': '/wildland-firefighting/wildland-firefighting-tools', 'is_customized': True}"
,Wireless Transmitters,0,0,"{'path': '/first-responder-electronic-equipment/firefighter-wireless-transmitters', 'is_customized': False}"
,Extrication Suits,0,0,"{'path': '/firefighter-personal-protective-equipment/firefighter-extrication-suits', 'is_customized': False}"
,Belts,0,0,"{'path': '/first-responder-apparel/first-responder-belts', 'is_customized': False}"
,European Helmets,0,0,"{'path': '/fire-helmets/european-firefighter-helmets', 'is_customized': False}"
,Gear Cleaner,0,0,"{'path': '/firefighter-personal-protective-equipment/firefighter-gear-cleaner', 'is_customized': False}"
,Handheld Lights,0,0,"{'path': '/responder-flashlights/firefighter-handheld-lights', 'is_customized': False}"
,Headlamps,0,0,"{'path': '/responder-flashlights/firefighter-headlamps', 'is_customized': False}"
,Helmet Lights,0,0,"{'path': '/responder-flashlights/firefighter-helmet-lights', 'is_customized': False}"
,Hose Hardware and Parts,0,0,"{'path': '/firefighting-suppression-equipment/firefighting-hose-hardware', 'is_customized': False}"
,Hose Hardware and Parts,0,0,"{'path': '/wildland-firefighting/firefighting-hose-hardware', 'is_customized': False}"
,Hose Wrenches,0,0,"{'path': '/firefighting-suppression-equipment/firefighter-hose-wrenches', 'is_customized': False}"
,Hose Wrenches,0,0,"{'path': '/first-responder-tools/firefighter-hose-wrenches', 'is_customized': False}"
,Hose Wrenches,0,0,"{'path': '/wildland-firefighting/firefighter-hose-wrenches', 'is_customized': False}"
,Key Chain Lights,0,0,"{'path': '/responder-flashlights/first-responder-key-chain-lights', 'is_customized': False}"
